"table_id","Food_category","Year_first_ill","Serotype","No_of_illnesses","No_of_outbreaks","Pathogen","Year","Year_range","Running_total_by_year_range"
"Pork_Adelaide_2017-2021","Pork","2,021","Adelaide","0","0","Salmonella","2,021","2017-2021","48"
"Pork_Agona_2017-2021","Pork","2,021","Agona","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Anatum_2017-2021","Chicken","2,021","Anatum","0","0","Salmonella","2,021","2017-2021","4"
"Turkey_Anatum_2017-2021","Turkey","2,021","Anatum","0","0","Salmonella","2,021","2017-2021","8"
"Pork_Berta_2017-2021","Pork","2,021","Berta","0","0","Salmonella","2,021","2017-2021","30"
"Chicken_Blockley_2017-2021","Chicken","2,021","Blockley","0","0","Salmonella","2,021","2017-2021","146"
"Beef_Braenderup_2017-2021","Beef","2,021","Braenderup","0","0","Salmonella","2,021","2017-2021","11"
"Chicken_Braenderup_2017-2021","Chicken","2,021","Braenderup","10","1","Salmonella","2,021","2017-2021","80"
"Pork_Braenderup_2017-2021","Pork","2,021","Braenderup","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Braenderup_2017-2021","Turkey","2,021","Braenderup","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Carmel_2017-2021","Chicken","2,021","Carmel","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Derby_2017-2021","Chicken","2,021","Derby","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Dublin_2017-2021","Beef","2,021","Dublin","0","0","Salmonella","2,021","2017-2021","51"
"Pork_Eastbourne_2017-2021","Pork","2,021","Eastbourne","0","0","Salmonella","2,021","2017-2021","21"
"Beef_Enteritidis_2017-2021","Beef","2,021","Enteritidis","0","0","Salmonella","2,021","2017-2021","6"
"Chicken_Enteritidis_2017-2021","Chicken","2,021","Enteritidis","181","4","Salmonella","2,021","2017-2021","679"
"Pork_Enteritidis_2017-2021","Pork","2,021","Enteritidis","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Enteritidis_2017-2021","Turkey","2,021","Enteritidis","4","1","Salmonella","2,021","2017-2021","584"
"Pork_Goldcoast_2017-2021","Pork","2,021","Goldcoast","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Hadar_2017-2021","Turkey","2,021","Hadar","0","0","Salmonella","2,021","2017-2021","51"
"Beef_Heidelberg_2017-2021","Beef","2,021","Heidelberg","0","0","Salmonella","2,021","2017-2021","32"
"Chicken_Heidelberg_2017-2021","Chicken","2,021","Heidelberg","0","0","Salmonella","2,021","2017-2021","63"
"Beef_I 4,[5],12:i:-_2017-2021","Beef","2,021","I 4,[5],12:i:-","25","1","Salmonella","2,021","2017-2021","25"
"Chicken_I 4,[5],12:i:-_2017-2021","Chicken","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,021","2017-2021","39"
"Pork_I 4,[5],12:i:-_2017-2021","Pork","2,021","I 4,[5],12:i:-","36","1","Salmonella","2,021","2017-2021","165"
"Turkey_I 4,[5],12:i:-_2017-2021","Turkey","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,021","2017-2021","3"
"Beef_Infantis_2017-2021","Beef","2,021","Infantis","0","0","Salmonella","2,021","2017-2021","4"
"Chicken_Infantis_2017-2021","Chicken","2,021","Infantis","0","0","Salmonella","2,021","2017-2021","209"
"Pork_Infantis_2017-2021","Pork","2,021","Infantis","0","0","Salmonella","2,021","2017-2021","85"
"Beef_Javiana_2017-2021","Beef","2,021","Javiana","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Javiana_2017-2021","Chicken","2,021","Javiana","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Javiana_2017-2021","Pork","2,021","Javiana","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Javiana_2017-2021","Turkey","2,021","Javiana","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Kiambu_2017-2021","Beef","2,021","Kiambu","0","0","Salmonella","2,021","2017-2021","8"
"Pork_Mbandaka_2017-2021","Pork","2,021","Mbandaka","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Montevideo_2017-2021","Chicken","2,021","Montevideo","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Muenchen_2017-2021","Beef","2,021","Muenchen","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Muenchen_2017-2021","Chicken","2,021","Muenchen","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Muenchen_2017-2021","Pork","2,021","Muenchen","0","0","Salmonella","2,021","2017-2021","99"
"Turkey_Muenchen_2017-2021","Turkey","2,021","Muenchen","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Muenster_2017-2021","Pork","2,021","Muenster","0","0","Salmonella","2,021","2017-2021","4"
"Beef_Newport_2017-2021","Beef","2,021","Newport","81","2","Salmonella","2,021","2017-2021","530"
"Chicken_Newport_2017-2021","Chicken","2,021","Newport","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Newport_2017-2021","Pork","2,021","Newport","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Newport_2017-2021","Turkey","2,021","Newport","0","0","Salmonella","2,021","2017-2021","9"
"Chicken_Norwich_2017-2021","Chicken","2,021","Norwich","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Oranienburg_2017-2021","Beef","2,021","Oranienburg","0","0","Salmonella","2,021","2017-2021","18"
"Chicken_Paratyphi B_2017-2021","Chicken","2,021","Paratyphi B","0","0","Salmonella","2,021","2017-2021","7"
"Beef_Potsdam_2017-2021","Beef","2,021","Potsdam","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Reading_2017-2021","Turkey","2,021","Reading","0","0","Salmonella","2,021","2017-2021","367"
"Chicken_Saintpaul_2017-2021","Chicken","2,021","Saintpaul","0","0","Salmonella","2,021","2017-2021","0"
"Turkey_Saintpaul_2017-2021","Turkey","2,021","Saintpaul","0","0","Salmonella","2,021","2017-2021","0"
"Chicken_Schwarzengrund_2017-2021","Chicken","2,021","Schwarzengrund","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Schwarzengrund_2017-2021","Pork","2,021","Schwarzengrund","0","0","Salmonella","2,021","2017-2021","30"
"Turkey_Schwarzengrund_2017-2021","Turkey","2,021","Schwarzengrund","0","0","Salmonella","2,021","2017-2021","7"
"Chicken_Thompson_2017-2021","Chicken","2,021","Thompson","0","0","Salmonella","2,021","2017-2021","15"
"Pork_Thompson_2017-2021","Pork","2,021","Thompson","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Typhimurium_2017-2021","Beef","2,021","Typhimurium","0","0","Salmonella","2,021","2017-2021","54"
"Chicken_Typhimurium_2017-2021","Chicken","2,021","Typhimurium","0","0","Salmonella","2,021","2017-2021","85"
"Pork_Typhimurium_2017-2021","Pork","2,021","Typhimurium","0","0","Salmonella","2,021","2017-2021","184"
"Turkey_Typhimurium_2017-2021","Turkey","2,021","Typhimurium","0","0","Salmonella","2,021","2017-2021","0"
"Beef_Uganda_2017-2021","Beef","2,021","Uganda","0","0","Salmonella","2,021","2017-2021","18"
"Pork_Uganda_2017-2021","Pork","2,021","Uganda","0","0","Salmonella","2,021","2017-2021","0"
"Pork_Adelaide_2018-2022","Pork","2,021","Adelaide","0","0","Salmonella","2,022","2018-2022","48"
"Pork_Agona_2018-2022","Pork","2,021","Agona","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Anatum_2018-2022","Chicken","2,021","Anatum","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Anatum_2018-2022","Turkey","2,021","Anatum","0","0","Salmonella","2,022","2018-2022","8"
"Pork_Berta_2018-2022","Pork","2,021","Berta","0","0","Salmonella","2,022","2018-2022","30"
"Chicken_Blockley_2018-2022","Chicken","2,021","Blockley","0","0","Salmonella","2,022","2018-2022","146"
"Beef_Braenderup_2018-2022","Beef","2,021","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Braenderup_2018-2022","Chicken","2,021","Braenderup","10","1","Salmonella","2,022","2018-2022","80"
"Pork_Braenderup_2018-2022","Pork","2,021","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Braenderup_2018-2022","Turkey","2,021","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Brandenburg_2018-2022","Beef","2,021","Brandenburg","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Carmel_2018-2022","Chicken","2,021","Carmel","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Derby_2018-2022","Chicken","2,021","Derby","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Dublin_2018-2022","Beef","2,021","Dublin","0","0","Salmonella","2,022","2018-2022","51"
"Pork_Eastbourne_2018-2022","Pork","2,021","Eastbourne","0","0","Salmonella","2,022","2018-2022","21"
"Beef_Enteritidis_2018-2022","Beef","2,021","Enteritidis","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Enteritidis_2018-2022","Chicken","2,021","Enteritidis","173","3","Salmonella","2,022","2018-2022","489"
"Pork_Enteritidis_2018-2022","Pork","2,021","Enteritidis","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Enteritidis_2018-2022","Turkey","2,021","Enteritidis","9","2","Salmonella","2,022","2018-2022","13"
"Pork_Goldcoast_2018-2022","Pork","2,021","Goldcoast","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Hadar_2018-2022","Turkey","2,021","Hadar","0","0","Salmonella","2,022","2018-2022","51"
"Beef_Heidelberg_2018-2022","Beef","2,021","Heidelberg","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Heidelberg_2018-2022","Chicken","2,021","Heidelberg","0","0","Salmonella","2,022","2018-2022","30"
"Beef_I 4,[5],12:i:-_2018-2022","Beef","2,021","I 4,[5],12:i:-","25","1","Salmonella","2,022","2018-2022","25"
"Chicken_I 4,[5],12:i:-_2018-2022","Chicken","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,022","2018-2022","0"
"Pork_I 4,[5],12:i:-_2018-2022","Pork","2,021","I 4,[5],12:i:-","36","1","Salmonella","2,022","2018-2022","120"
"Turkey_I 4,[5],12:i:-_2018-2022","Turkey","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,022","2018-2022","3"
"Chicken_Infantis_2018-2022","Chicken","2,021","Infantis","0","0","Salmonella","2,022","2018-2022","143"
"Pork_Infantis_2018-2022","Pork","2,021","Infantis","0","0","Salmonella","2,022","2018-2022","85"
"Beef_Javiana_2018-2022","Beef","2,021","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Javiana_2018-2022","Chicken","2,021","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Javiana_2018-2022","Pork","2,021","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Javiana_2018-2022","Turkey","2,021","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Mbandaka_2018-2022","Pork","2,021","Mbandaka","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Montevideo_2018-2022","Chicken","2,021","Montevideo","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Muenchen_2018-2022","Beef","2,021","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Muenchen_2018-2022","Chicken","2,021","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Muenchen_2018-2022","Pork","2,021","Muenchen","0","0","Salmonella","2,022","2018-2022","99"
"Turkey_Muenchen_2018-2022","Turkey","2,021","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Muenster_2018-2022","Pork","2,021","Muenster","0","0","Salmonella","2,022","2018-2022","4"
"Beef_Newport_2018-2022","Beef","2,021","Newport","81","2","Salmonella","2,022","2018-2022","527"
"Pork_Newport_2018-2022","Pork","2,021","Newport","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Newport_2018-2022","Turkey","2,021","Newport","0","0","Salmonella","2,022","2018-2022","9"
"Chicken_Norwich_2018-2022","Chicken","2,021","Norwich","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Oranienburg_2018-2022","Beef","2,021","Oranienburg","0","0","Salmonella","2,022","2018-2022","18"
"Chicken_Oranienburg_2018-2022","Chicken","2,021","Oranienburg","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Paratyphi B_2018-2022","Chicken","2,021","Paratyphi B","0","0","Salmonella","2,022","2018-2022","7"
"Beef_Potsdam_2018-2022","Beef","2,021","Potsdam","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Reading_2018-2022","Turkey","2,021","Reading","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Saintpaul_2018-2022","Chicken","2,021","Saintpaul","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Saintpaul_2018-2022","Turkey","2,021","Saintpaul","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Sandiego_2018-2022","Chicken","2,021","Sandiego","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Schwarzengrund_2018-2022","Pork","2,021","Schwarzengrund","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Schwarzengrund_2018-2022","Turkey","2,021","Schwarzengrund","0","0","Salmonella","2,022","2018-2022","7"
"Chicken_Thompson_2018-2022","Chicken","2,021","Thompson","0","0","Salmonella","2,022","2018-2022","15"
"Pork_Thompson_2018-2022","Pork","2,021","Thompson","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Typhimurium_2018-2022","Beef","2,021","Typhimurium","0","0","Salmonella","2,022","2018-2022","48"
"Chicken_Typhimurium_2018-2022","Chicken","2,021","Typhimurium","0","0","Salmonella","2,022","2018-2022","85"
"Pork_Typhimurium_2018-2022","Pork","2,021","Typhimurium","0","0","Salmonella","2,022","2018-2022","144"
"Beef_Uganda_2018-2022","Beef","2,021","Uganda","0","0","Salmonella","2,022","2018-2022","18"
"Pork_Uganda_2018-2022","Pork","2,021","Uganda","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Adelaide_2019-2023","Pork","2,021","Adelaide","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Agona_2019-2023","Pork","2,021","Agona","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Anatum_2019-2023","Chicken","2,021","Anatum","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Anatum_2019-2023","Turkey","2,021","Anatum","0","0","Salmonella","2,023","2019-2023","8"
"Pork_Berta_2019-2023","Pork","2,021","Berta","0","0","Salmonella","2,023","2019-2023","30"
"Chicken_Blockley_2019-2023","Chicken","2,021","Blockley","0","0","Salmonella","2,023","2019-2023","95"
"Beef_Braenderup_2019-2023","Beef","2,021","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Braenderup_2019-2023","Chicken","2,021","Braenderup","10","1","Salmonella","2,023","2019-2023","10"
"Pork_Braenderup_2019-2023","Pork","2,021","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Brandenburg_2019-2023","Beef","2,021","Brandenburg","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Carmel_2019-2023","Chicken","2,021","Carmel","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Derby_2019-2023","Chicken","2,021","Derby","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Dublin_2019-2023","Beef","2,021","Dublin","0","0","Salmonella","2,023","2019-2023","13"
"Pork_Eastbourne_2019-2023","Pork","2,021","Eastbourne","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Enteritidis_2019-2023","Beef","2,021","Enteritidis","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Enteritidis_2019-2023","Chicken","2,021","Enteritidis","173","3","Salmonella","2,023","2019-2023","430"
"Turkey_Enteritidis_2019-2023","Turkey","2,021","Enteritidis","4","1","Salmonella","2,023","2019-2023","4"
"Pork_Goldcoast_2019-2023","Pork","2,021","Goldcoast","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Hadar_2019-2023","Turkey","2,021","Hadar","0","0","Salmonella","2,023","2019-2023","34"
"Beef_Heidelberg_2019-2023","Beef","2,021","Heidelberg","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Heidelberg_2019-2023","Chicken","2,021","Heidelberg","0","0","Salmonella","2,023","2019-2023","28"
"Beef_I 4,[5],12:i:-_2019-2023","Beef","2,021","I 4,[5],12:i:-","25","1","Salmonella","2,023","2019-2023","25"
"Chicken_I 4,[5],12:i:-_2019-2023","Chicken","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","0"
"Pork_I 4,[5],12:i:-_2019-2023","Pork","2,021","I 4,[5],12:i:-","36","1","Salmonella","2,023","2019-2023","77"
"Turkey_I 4,[5],12:i:-_2019-2023","Turkey","2,021","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Infantis_2019-2023","Chicken","2,021","Infantis","0","0","Salmonella","2,023","2019-2023","14"
"Pork_Infantis_2019-2023","Pork","2,021","Infantis","0","0","Salmonella","2,023","2019-2023","85"
"Pork_Javiana_2019-2023","Pork","2,021","Javiana","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Javiana_2019-2023","Turkey","2,021","Javiana","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Johannesburg_2019-2023","Chicken","2,021","Johannesburg","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Mbandaka_2019-2023","Pork","2,021","Mbandaka","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Muenchen_2019-2023","Beef","2,021","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Muenchen_2019-2023","Chicken","2,021","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Muenchen_2019-2023","Pork","2,021","Muenchen","0","0","Salmonella","2,023","2019-2023","99"
"Pork_Muenster_2019-2023","Pork","2,021","Muenster","0","0","Salmonella","2,023","2019-2023","4"
"Beef_Newport_2019-2023","Beef","2,021","Newport","81","2","Salmonella","2,023","2019-2023","87"
"Pork_Newport_2019-2023","Pork","2,021","Newport","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Newport_2019-2023","Turkey","2,021","Newport","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Norwich_2019-2023","Chicken","2,021","Norwich","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Oranienburg_2019-2023","Beef","2,021","Oranienburg","0","0","Salmonella","2,023","2019-2023","18"
"Chicken_Paratyphi B_2019-2023","Chicken","2,021","Paratyphi B","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Potsdam_2019-2023","Beef","2,021","Potsdam","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Reading_2019-2023","Turkey","2,021","Reading","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Saintpaul_2019-2023","Beef","2,021","Saintpaul","0","0","Salmonella","2,023","2019-2023","0"
