"table_id","Food_category","Year_first_ill","Serotype","No_of_illnesses","No_of_outbreaks","Pathogen","Year","Year_range","Running_total_by_year_range"
"Chicken_Saintpaul_2019-2023","Chicken","2,021","Saintpaul","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Sandiego_2019-2023","Chicken","2,021","Sandiego","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Schwarzengrund_2019-2023","Pork","2,021","Schwarzengrund","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Schwarzengrund_2019-2023","Turkey","2,021","Schwarzengrund","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Thompson_2019-2023","Chicken","2,021","Thompson","0","0","Salmonella","2,023","2019-2023","15"
"Beef_Typhimurium_2019-2023","Beef","2,021","Typhimurium","0","0","Salmonella","2,023","2019-2023","48"
"Chicken_Typhimurium_2019-2023","Chicken","2,021","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Typhimurium_2019-2023","Pork","2,021","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Uganda_2019-2023","Beef","2,021","Uganda","0","0","Salmonella","2,023","2019-2023","18"
"Pork_Uganda_2019-2023","Pork","2,021","Uganda","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Adelaide_2018-2022","Pork","2,022","Adelaide","0","0","Salmonella","2,022","2018-2022","48"
"Pork_Agona_2018-2022","Pork","2,022","Agona","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Anatum_2018-2022","Chicken","2,022","Anatum","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Anatum_2018-2022","Turkey","2,022","Anatum","0","0","Salmonella","2,022","2018-2022","8"
"Pork_Berta_2018-2022","Pork","2,022","Berta","0","0","Salmonella","2,022","2018-2022","30"
"Chicken_Blockley_2018-2022","Chicken","2,022","Blockley","0","0","Salmonella","2,022","2018-2022","146"
"Beef_Braenderup_2018-2022","Beef","2,022","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Braenderup_2018-2022","Chicken","2,022","Braenderup","0","0","Salmonella","2,022","2018-2022","80"
"Pork_Braenderup_2018-2022","Pork","2,022","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Braenderup_2018-2022","Turkey","2,022","Braenderup","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Brandenburg_2018-2022","Beef","2,022","Brandenburg","139","1","Salmonella","2,022","2018-2022","139"
"Chicken_Carmel_2018-2022","Chicken","2,022","Carmel","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Derby_2018-2022","Chicken","2,022","Derby","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Dublin_2018-2022","Beef","2,022","Dublin","0","0","Salmonella","2,022","2018-2022","51"
"Pork_Eastbourne_2018-2022","Pork","2,022","Eastbourne","0","0","Salmonella","2,022","2018-2022","21"
"Beef_Enteritidis_2018-2022","Beef","2,022","Enteritidis","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Enteritidis_2018-2022","Chicken","2,022","Enteritidis","111","4","Salmonella","2,022","2018-2022","600"
"Pork_Enteritidis_2018-2022","Pork","2,022","Enteritidis","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Enteritidis_2018-2022","Turkey","2,022","Enteritidis","3","1","Salmonella","2,022","2018-2022","16"
"Pork_Goldcoast_2018-2022","Pork","2,022","Goldcoast","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Hadar_2018-2022","Turkey","2,022","Hadar","0","0","Salmonella","2,022","2018-2022","51"
"Beef_Heidelberg_2018-2022","Beef","2,022","Heidelberg","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Heidelberg_2018-2022","Chicken","2,022","Heidelberg","3","1","Salmonella","2,022","2018-2022","33"
"Beef_I 4,[5],12:i:-_2018-2022","Beef","2,022","I 4,[5],12:i:-","0","0","Salmonella","2,022","2018-2022","25"
"Chicken_I 4,[5],12:i:-_2018-2022","Chicken","2,022","I 4,[5],12:i:-","0","0","Salmonella","2,022","2018-2022","0"
"Pork_I 4,[5],12:i:-_2018-2022","Pork","2,022","I 4,[5],12:i:-","38","1","Salmonella","2,022","2018-2022","158"
"Turkey_I 4,[5],12:i:-_2018-2022","Turkey","2,022","I 4,[5],12:i:-","25","1","Salmonella","2,022","2018-2022","28"
"Chicken_Infantis_2018-2022","Chicken","2,022","Infantis","0","0","Salmonella","2,022","2018-2022","143"
"Pork_Infantis_2018-2022","Pork","2,022","Infantis","10","1","Salmonella","2,022","2018-2022","95"
"Beef_Javiana_2018-2022","Beef","2,022","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Javiana_2018-2022","Chicken","2,022","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Javiana_2018-2022","Pork","2,022","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Javiana_2018-2022","Turkey","2,022","Javiana","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Mbandaka_2018-2022","Pork","2,022","Mbandaka","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Montevideo_2018-2022","Chicken","2,022","Montevideo","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Muenchen_2018-2022","Beef","2,022","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Muenchen_2018-2022","Chicken","2,022","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Muenchen_2018-2022","Pork","2,022","Muenchen","0","0","Salmonella","2,022","2018-2022","99"
"Turkey_Muenchen_2018-2022","Turkey","2,022","Muenchen","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Muenster_2018-2022","Pork","2,022","Muenster","0","0","Salmonella","2,022","2018-2022","4"
"Beef_Newport_2018-2022","Beef","2,022","Newport","24","2","Salmonella","2,022","2018-2022","551"
"Pork_Newport_2018-2022","Pork","2,022","Newport","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Newport_2018-2022","Turkey","2,022","Newport","0","0","Salmonella","2,022","2018-2022","9"
"Chicken_Norwich_2018-2022","Chicken","2,022","Norwich","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Oranienburg_2018-2022","Beef","2,022","Oranienburg","0","0","Salmonella","2,022","2018-2022","18"
"Chicken_Oranienburg_2018-2022","Chicken","2,022","Oranienburg","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Paratyphi B_2018-2022","Chicken","2,022","Paratyphi B","0","0","Salmonella","2,022","2018-2022","7"
"Beef_Potsdam_2018-2022","Beef","2,022","Potsdam","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Reading_2018-2022","Turkey","2,022","Reading","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Saintpaul_2018-2022","Chicken","2,022","Saintpaul","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Saintpaul_2018-2022","Turkey","2,022","Saintpaul","0","0","Salmonella","2,022","2018-2022","0"
"Chicken_Sandiego_2018-2022","Chicken","2,022","Sandiego","3","1","Salmonella","2,022","2018-2022","3"
"Pork_Schwarzengrund_2018-2022","Pork","2,022","Schwarzengrund","0","0","Salmonella","2,022","2018-2022","0"
"Turkey_Schwarzengrund_2018-2022","Turkey","2,022","Schwarzengrund","0","0","Salmonella","2,022","2018-2022","7"
"Chicken_Thompson_2018-2022","Chicken","2,022","Thompson","0","0","Salmonella","2,022","2018-2022","15"
"Pork_Thompson_2018-2022","Pork","2,022","Thompson","0","0","Salmonella","2,022","2018-2022","0"
"Beef_Typhimurium_2018-2022","Beef","2,022","Typhimurium","30","1","Salmonella","2,022","2018-2022","78"
"Chicken_Typhimurium_2018-2022","Chicken","2,022","Typhimurium","0","0","Salmonella","2,022","2018-2022","85"
"Pork_Typhimurium_2018-2022","Pork","2,022","Typhimurium","0","0","Salmonella","2,022","2018-2022","144"
"Beef_Uganda_2018-2022","Beef","2,022","Uganda","0","0","Salmonella","2,022","2018-2022","18"
"Pork_Uganda_2018-2022","Pork","2,022","Uganda","0","0","Salmonella","2,022","2018-2022","0"
"Pork_Adelaide_2019-2023","Pork","2,022","Adelaide","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Agona_2019-2023","Pork","2,022","Agona","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Anatum_2019-2023","Chicken","2,022","Anatum","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Anatum_2019-2023","Turkey","2,022","Anatum","0","0","Salmonella","2,023","2019-2023","8"
"Pork_Berta_2019-2023","Pork","2,022","Berta","0","0","Salmonella","2,023","2019-2023","30"
"Chicken_Blockley_2019-2023","Chicken","2,022","Blockley","0","0","Salmonella","2,023","2019-2023","95"
"Beef_Braenderup_2019-2023","Beef","2,022","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Braenderup_2019-2023","Chicken","2,022","Braenderup","0","0","Salmonella","2,023","2019-2023","10"
"Pork_Braenderup_2019-2023","Pork","2,022","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Brandenburg_2019-2023","Beef","2,022","Brandenburg","139","1","Salmonella","2,023","2019-2023","139"
"Chicken_Carmel_2019-2023","Chicken","2,022","Carmel","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Derby_2019-2023","Chicken","2,022","Derby","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Dublin_2019-2023","Beef","2,022","Dublin","0","0","Salmonella","2,023","2019-2023","13"
"Pork_Eastbourne_2019-2023","Pork","2,022","Eastbourne","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Enteritidis_2019-2023","Beef","2,022","Enteritidis","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Enteritidis_2019-2023","Chicken","2,022","Enteritidis","111","4","Salmonella","2,023","2019-2023","541"
"Turkey_Enteritidis_2019-2023","Turkey","2,022","Enteritidis","3","1","Salmonella","2,023","2019-2023","7"
"Pork_Goldcoast_2019-2023","Pork","2,022","Goldcoast","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Hadar_2019-2023","Turkey","2,022","Hadar","0","0","Salmonella","2,023","2019-2023","34"
"Beef_Heidelberg_2019-2023","Beef","2,022","Heidelberg","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Heidelberg_2019-2023","Chicken","2,022","Heidelberg","3","1","Salmonella","2,023","2019-2023","31"
"Beef_I 4,[5],12:i:-_2019-2023","Beef","2,022","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","25"
"Chicken_I 4,[5],12:i:-_2019-2023","Chicken","2,022","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","0"
"Pork_I 4,[5],12:i:-_2019-2023","Pork","2,022","I 4,[5],12:i:-","38","1","Salmonella","2,023","2019-2023","115"
"Turkey_I 4,[5],12:i:-_2019-2023","Turkey","2,022","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Infantis_2019-2023","Chicken","2,022","Infantis","0","0","Salmonella","2,023","2019-2023","14"
"Pork_Infantis_2019-2023","Pork","2,022","Infantis","10","1","Salmonella","2,023","2019-2023","95"
"Pork_Javiana_2019-2023","Pork","2,022","Javiana","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Javiana_2019-2023","Turkey","2,022","Javiana","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Johannesburg_2019-2023","Chicken","2,022","Johannesburg","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Mbandaka_2019-2023","Pork","2,022","Mbandaka","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Muenchen_2019-2023","Beef","2,022","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Muenchen_2019-2023","Chicken","2,022","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Muenchen_2019-2023","Pork","2,022","Muenchen","0","0","Salmonella","2,023","2019-2023","99"
"Pork_Muenster_2019-2023","Pork","2,022","Muenster","0","0","Salmonella","2,023","2019-2023","4"
"Beef_Newport_2019-2023","Beef","2,022","Newport","22","1","Salmonella","2,023","2019-2023","109"
"Pork_Newport_2019-2023","Pork","2,022","Newport","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Newport_2019-2023","Turkey","2,022","Newport","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Norwich_2019-2023","Chicken","2,022","Norwich","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Oranienburg_2019-2023","Beef","2,022","Oranienburg","0","0","Salmonella","2,023","2019-2023","18"
"Chicken_Paratyphi B_2019-2023","Chicken","2,022","Paratyphi B","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Potsdam_2019-2023","Beef","2,022","Potsdam","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Reading_2019-2023","Turkey","2,022","Reading","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Saintpaul_2019-2023","Beef","2,022","Saintpaul","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Saintpaul_2019-2023","Chicken","2,022","Saintpaul","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Sandiego_2019-2023","Chicken","2,022","Sandiego","3","1","Salmonella","2,023","2019-2023","3"
"Pork_Schwarzengrund_2019-2023","Pork","2,022","Schwarzengrund","0","0","Salmonella","2,023","2019-2023","0"
"Turkey_Schwarzengrund_2019-2023","Turkey","2,022","Schwarzengrund","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Thompson_2019-2023","Chicken","2,022","Thompson","0","0","Salmonella","2,023","2019-2023","15"
"Beef_Typhimurium_2019-2023","Beef","2,022","Typhimurium","30","1","Salmonella","2,023","2019-2023","78"
"Chicken_Typhimurium_2019-2023","Chicken","2,022","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Typhimurium_2019-2023","Pork","2,022","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Uganda_2019-2023","Beef","2,022","Uganda","0","0","Salmonella","2,023","2019-2023","18"
"Pork_Uganda_2019-2023","Pork","2,022","Uganda","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Adelaide_2019-2023","Pork","2,023","Adelaide","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Agona_2019-2023","Pork","2,023","Agona","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Anatum_2019-2023","Chicken","2,023","Anatum","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Berta_2019-2023","Pork","2,023","Berta","0","0","Salmonella","2,023","2019-2023","30"
"Chicken_Blockley_2019-2023","Chicken","2,023","Blockley","0","0","Salmonella","2,023","2019-2023","95"
"Beef_Braenderup_2019-2023","Beef","2,023","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Braenderup_2019-2023","Chicken","2,023","Braenderup","0","0","Salmonella","2,023","2019-2023","10"
"Pork_Braenderup_2019-2023","Pork","2,023","Braenderup","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Brandenburg_2019-2023","Beef","2,023","Brandenburg","0","0","Salmonella","2,023","2019-2023","139"
"Chicken_Carmel_2019-2023","Chicken","2,023","Carmel","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Derby_2019-2023","Chicken","2,023","Derby","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Dublin_2019-2023","Beef","2,023","Dublin","0","0","Salmonella","2,023","2019-2023","13"
"Pork_Eastbourne_2019-2023","Pork","2,023","Eastbourne","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Enteritidis_2019-2023","Beef","2,023","Enteritidis","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Enteritidis_2019-2023","Chicken","2,023","Enteritidis","83","2","Salmonella","2,023","2019-2023","624"
"Pork_Goldcoast_2019-2023","Pork","2,023","Goldcoast","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Heidelberg_2019-2023","Beef","2,023","Heidelberg","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Heidelberg_2019-2023","Chicken","2,023","Heidelberg","0","0","Salmonella","2,023","2019-2023","31"
"Beef_I 4,[5],12:i:-_2019-2023","Beef","2,023","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","25"
"Chicken_I 4,[5],12:i:-_2019-2023","Chicken","2,023","I 4,[5],12:i:-","0","0","Salmonella","2,023","2019-2023","0"
"Pork_I 4,[5],12:i:-_2019-2023","Pork","2,023","I 4,[5],12:i:-","16","2","Salmonella","2,023","2019-2023","131"
"Chicken_Infantis_2019-2023","Chicken","2,023","Infantis","0","0","Salmonella","2,023","2019-2023","14"
"Pork_Infantis_2019-2023","Pork","2,023","Infantis","0","0","Salmonella","2,023","2019-2023","95"
"Pork_Javiana_2019-2023","Pork","2,023","Javiana","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Johannesburg_2019-2023","Chicken","2,023","Johannesburg","11","1","Salmonella","2,023","2019-2023","11"
"Pork_Mbandaka_2019-2023","Pork","2,023","Mbandaka","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Muenchen_2019-2023","Beef","2,023","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Muenchen_2019-2023","Chicken","2,023","Muenchen","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Muenchen_2019-2023","Pork","2,023","Muenchen","0","0","Salmonella","2,023","2019-2023","99"
"Pork_Muenster_2019-2023","Pork","2,023","Muenster","0","0","Salmonella","2,023","2019-2023","4"
"Beef_Newport_2019-2023","Beef","2,023","Newport","0","0","Salmonella","2,023","2019-2023","109"
"Pork_Newport_2019-2023","Pork","2,023","Newport","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Norwich_2019-2023","Chicken","2,023","Norwich","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Oranienburg_2019-2023","Beef","2,023","Oranienburg","0","0","Salmonella","2,023","2019-2023","18"
"Chicken_Paratyphi B_2019-2023","Chicken","2,023","Paratyphi B","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Potsdam_2019-2023","Beef","2,023","Potsdam","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Saintpaul_2019-2023","Beef","2,023","Saintpaul","18","1","Salmonella","2,023","2019-2023","18"
"Chicken_Saintpaul_2019-2023","Chicken","2,023","Saintpaul","0","0","Salmonella","2,023","2019-2023","0"
"Chicken_Sandiego_2019-2023","Chicken","2,023","Sandiego","0","0","Salmonella","2,023","2019-2023","3"
"Pork_Schwarzengrund_2019-2023","Pork","2,023","Schwarzengrund","14","1","Salmonella","2,023","2019-2023","14"
"Chicken_Thompson_2019-2023","Chicken","2,023","Thompson","19","1","Salmonella","2,023","2019-2023","34"
"Beef_Typhimurium_2019-2023","Beef","2,023","Typhimurium","44","1","Salmonella","2,023","2019-2023","122"
"Chicken_Typhimurium_2019-2023","Chicken","2,023","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Pork_Typhimurium_2019-2023","Pork","2,023","Typhimurium","0","0","Salmonella","2,023","2019-2023","0"
"Beef_Uganda_2019-2023","Beef","2,023","Uganda","0","0","Salmonella","2,023","2019-2023","18"
"Pork_Uganda_2019-2023","Pork","2,023","Uganda","0","0","Salmonella","2,023","2019-2023","0"
